"CONSTRAINT_CATALOG","CONSTRAINT_NAME","CHECK_CLAUSE"
"PlantX","CK__ServiceRe__Job_t__00AA174D","([Job_type]='Pest Removal' OR [Job_type]='Harvesting' OR [Job_type]='Maintenance' OR [Job_type]='Digging' OR [Job_type]='Weeds' OR [Job_type]='Watering' OR [Job_type]='Planting')"
"PlantX","CK__Services__Price__0662F0A3","([Price]>(0))"
"PlantX","CK__Services__Job_ty__075714DC","([Job_type]='Pest Removal' OR [Job_type]='Harvesting' OR [Job_type]='Maintenance' OR [Job_type]='Digging' OR [Job_type]='Weeds' OR [Job_type]='Watering' OR [Job_type]='Planting')"
"PlantX","CK__Gardener__Age__0DCF0841","([Age]>=(18) AND [Age]<=(60))"
"PlantX","CK__Gardener__Rating__10AB74EC","([Rating]>(0) AND [Rating]<=(5))"
"PlantX","CK__Admin__AdminID__14270015","([AdminID] like 'A%')"
"PlantX","CK__Orders__Price__1E6F845E","([Price]>(0))"
"PlantX","CK__Orders__Quantity__1F63A897","([Quantity]>(0))"
"PlantX","CK__Gardener__Specia__2739D489","([Speciality] like 'Planting' OR [Speciality] like 'Watering' OR [Speciality] like 'Weeds' OR [Speciality] like 'Digging' OR [Speciality] like 'Maintenance' OR [Speciality] like 'Harvesting' OR [Speciality] like 'Pest Removal')"
"PlantX","CK__Gardener__Garden__282DF8C2","([GardenerID] like 'G%')"
"PlantX","CK__Nursery__Nursery__2DE6D218","([NurseryID] like 'N%')"
"PlantX","CK__Gardener___Speci__3587F3E0","([Speciality] like 'Planting' OR [Speciality] like 'Watering' OR [Speciality] like 'Weeds' OR [Speciality] like 'Digging' OR [Speciality] like 'Maintenance' OR [Speciality] like 'Harvesting' OR [Speciality] like 'Pest Removal')"
"PlantX","CK__Customer__Age__39AD8A7F","([Age]>(0))"
"PlantX","CK__Customer__Custom__3A4CA8FD","([CustomerID] like 'C%')"
"PlantX","CK__Trending__Quanti__3D7E1B63","([Quantity]>(0))"
"PlantX","CK__Gardener__Price___3E723F9C","([Price_Range]>(0))"
"PlantX","CK__Gardener___Price__3F6663D5","([Price_Range]>(0))"
"PlantX","CK__Gardener_Re__Age__405A880E","([Age]>=(18) AND [Age]<=(60))"
"PlantX","CK__Gardener___Exper__414EAC47","([Experience]>=(0))"
"PlantX","CK__Nursery__Price_R__4242D080","([Price_Range]>(0))"
"PlantX","CK__Nursery__Number___4336F4B9","([Number_of_Rating]>=(0))"
"PlantX","CK__Product__Product__451F3D2B","([ProductID] like 'I%')"
"PlantX","CK__Gardener___Ratin__45544755","([Rating]>(0) AND [Rating]<=(5))"
"PlantX","CK__Product_R__Ratin__46486B8E","([Rating]>(0) AND [Rating]<=(5))"
"PlantX","CK__Customer__Rating__473C8FC7","([Rating]>(0) AND [Rating]<=(5))"
"PlantX","CK__Gardener__Experi__4830B400","([Experience]>=(0))"
"PlantX","CK__Nursery__Rating__4924D839","([Rating]>(0) AND [Rating]<=(5))"
"PlantX","CK__Gardener___GRequ__4D5F7D71","([GRequestID] like 'R%')"
"PlantX","CK__Soil__Type__51300E55","([Type] like 'Clay' OR [Type] like 'Sandy' OR [Type] like 'Silty' OR [Type] like 'Chalky' OR [Type] like 'Peaty' OR [Type] like 'Loamy')"
"PlantX","CK__Soil__SoilID__5224328E","([SoilID] like 'S%')"
"PlantX","CK__Plant__PlantID__55009F39","([PlantID] like 'P%')"
"PlantX","CK__Tools__ToolID__58D1301D","([ToolID] like 'T%')"
"PlantX","CK__Seed__SeedID__5BAD9CC8","([SeedID] like 'E%')"
"PlantX","CK__Seed__Expected_S__5CA1C101","([Expected_Selling_Price]>(0))"
"PlantX","CK__Product__Type__625A9A57","([Type]='Tool' OR [Type]='Soil' OR [Type]='Seed' OR [Type]='Plant')"
"PlantX","CK__Product__Price__634EBE90","([Price]>(0))"
"PlantX","CK__Product__Availab__6442E2C9","([Available]>=(0))"
"PlantX","CK__Product_R__Quant__74794A92","([Quantity]>(0))"
"PlantX","CK__ServiceRe__Price__7FB5F314","([Price]>(0))"
