OrderID,Price,Quantity,ProductID,CustomerID
O1000,340,9,06-12-2017,I19,C100
O1001,376,10,09-12-2017,I19,C9
O1002,358,10,15-12-2017,I19,C198
O1003,350,10,19-12-2017,I19,C158
O1004,369,6,26-12-2017,I19,C157
O1005,392,2,01-01-2018,I19,C144
O1006,245,2,02-01-2018,I19,C76
O1007,375,8,07-01-2018,I19,C33
O1008,379,3,09-01-2018,I19,C67
O1009,356,5,16-01-2018,I19,C130
O1010,366,6,18-01-2018,I19,C158
O1011,393,9,22-01-2018,I19,C110
O1012,392,2,28-01-2018,I19,C87
O1013,384,5,03-02-2018,I19,C18
O1014,363,2,09-02-2018,I19,C119
O1015,364,6,14-02-2018,I19,C63
O1016,388,4,17-02-2018,I19,C18
O1017,412,10,21-02-2018,I19,C48
O1018,367,7,24-02-2018,I19,C182
O1019,423,9,03-03-2018,I19,C173
O1020,430,1,09-03-2018,I19,C17
O1021,437,5,16-03-2018,I19,C135
O1022,445,8,21-03-2018,I19,C21
O1023,379,10,23-03-2018,I19,C90
O1024,252,5,23-03-2018,I19,C135
O1025,395,2,01-04-2018,I19,C68
O1026,413,6,03-04-2018,I19,C24
O1027,398,10,09-04-2018,I19,C150
O1028,455,3,12-04-2018,I19,C124
O1029,454,6,19-04-2018,I19,C189
O1030,409,10,25-04-2018,I19,C157
O1031,202,4,26-04-2018,I19,C140
O1032,410,8,03-05-2018,I19,C159
O1033,442,5,10-05-2018,I19,C128
O1034,406,5,15-05-2018,I19,C142
O1035,463,8,17-05-2018,I19,C113
O1036,483,1,24-05-2018,I19,C3
O1037,470,8,28-05-2018,I19,C166
O1038,460,7,03-06-2018,I19,C169
O1039,436,7,06-06-2018,I19,C177
O1040,468,5,09-06-2018,I19,C90
O1041,420,7,12-06-2018,I19,C61
O1042,200,5,13-06-2018,I19,C165
O1043,472,1,15-06-2018,I19,C11
O1044,429,9,18-06-2018,I19,C50
O1045,497,6,23-06-2018,I19,C94
O1046,516,6,27-06-2018,I19,C32
O1047,290,2,03-07-2018,I19,C19
O1048,481,6,10-07-2018,I19,C14
O1049,437,2,12-07-2018,I19,C53
O1050,201,6,11-07-2018,I19,C134
O1051,478,2,18-07-2018,I19,C170
O1052,456,6,24-07-2018,I19,C150
O1053,513,1,01-08-2018,I19,C116
O1054,539,9,05-08-2018,I19,C78
O1055,527,9,07-08-2018,I19,C43
O1056,538,9,14-08-2018,I19,C88
O1057,444,5,19-08-2018,I19,C168
O1058,518,7,26-08-2018,I19,C118
O1059,533,3,01-09-2018,I19,C125
O1060,544,8,08-09-2018,I19,C4
O1061,566,2,14-09-2018,I19,C12
O1062,518,5,17-09-2018,I19,C160
O1063,571,7,22-09-2018,I19,C39
O1064,470,9,28-09-2018,I19,C121
O1065,575,4,03-10-2018,I19,C128
O1066,524,9,09-10-2018,I19,C42
O1067,222,4,10-10-2018,I19,C62
O1068,586,10,16-10-2018,I19,C74
O1069,545,4,23-10-2018,I19,C155
O1070,543,3,28-10-2018,I19,C12
O1071,503,4,02-11-2018,I19,C118
O1072,521,6,09-11-2018,I19,C71
O1073,543,9,15-11-2018,I19,C123
O1074,584,5,22-11-2018,I19,C104
O1075,607,2,27-11-2018,I19,C143
O1076,331,6,01-12-2018,I19,C196
O1077,556,7,07-12-2018,I19,C35
O1078,614,4,10-12-2018,I19,C133
O1079,541,7,13-12-2018,I19,C184
O1080,590,4,20-12-2018,I19,C179
O1081,567,8,27-12-2018,I19,C51
O1082,636,6,03-01-2019,I19,C46
O1083,597,3,05-01-2019,I19,C79
O1084,527,4,10-01-2019,I19,C7
O1085,619,1,17-01-2019,I19,C34
O1086,623,5,21-01-2019,I19,C44
O1087,572,2,24-01-2019,I19,C58
O1088,531,5,27-01-2019,I19,C135
O1089,618,4,04-02-2019,I19,C190
O1090,635,1,06-02-2019,I19,C13
O1091,569,8,08-02-2019,I19,C33
O1092,651,6,11-02-2019,I19,C56
O1093,634,5,17-02-2019,I19,C30
O1094,539,1,22-02-2019,I19,C53
O1095,664,4,01-03-2019,I19,C12
O1096,563,5,06-03-2019,I19,C48
O1097,635,3,10-03-2019,I19,C125
O1098,554,6,16-03-2019,I19,C75
O1099,559,9,18-03-2019,I19,C180
O1100,581,6,21-03-2019,I19,C9
O1101,551,5,28-03-2019,I19,C74
O1102,678,10,02-04-2019,I19,C15
O1103,575,6,09-04-2019,I19,C159
O1104,208,5,11-04-2019,I19,C41
O1105,638,8,16-04-2019,I19,C195
O1106,690,9,23-04-2019,I19,C12
O1107,683,10,01-05-2019,I19,C10
O1108,700,2,04-05-2019,I19,C49
O1109,268,3,03-05-2019,I19,C149
O1110,622,2,10-05-2019,I19,C116
O1111,641,1,15-05-2019,I19,C172
O1112,675,7,22-05-2019,I19,C12
O1113,675,7,28-05-2019,I19,C146
O1114,626,9,05-06-2019,I19,C76
O1115,685,5,09-06-2019,I19,C73
O1116,603,4,16-06-2019,I19,C196
O1117,620,8,23-06-2019,I19,C64
O1118,302,6,23-06-2019,I19,C25
O1119,716,3,05-07-2019,I19,C124
O1120,725,7,08-07-2019,I19,C99
