Product_ReviewID,ProductID,Review,CustomerID,Rating
V1,I90,Minima impedit ipsam nobis necessitatibus laudantium.,C48,4.00
V10,I16,Odit totam voluptatem porro voluptatibus.,C175,3.00
V100,I87,Eum error delectus dolore eligendi vitae doloremque.,C76,2.00
V1000,I55,Quaerat repellendus quam velit error minus ipsa.,C53,2.92
V10000159,I10,asdasdasda,C206,3.00
V10000160,I100,asdasdasda,C206,3.00
V10000161,I103,asdasdasda,C206,3.00
V10000162,I198,asdasdasda,C12,3.00
V10000163,I1,asdasdasda,C12,3.00
V10000165,I105,asdasdasda,C206,3.00
V10000166,I100,asdasdasda,C206,3.00
V10000167,I102,asdasdasda,C206,3.00
V1001,I61,Iusto ipsum rerum molestiae.,C53,1.28
V1002,I32,Beatae iusto blanditiis natus nostrum quo.,C53,1.74
V1003,I38,Facere nam ipsum fugit quae.,C53,4.60
V1004,I28,Maxime aspernatur ipsam unde nihil.,C53,3.95
V1005,I51,Maiores voluptas excepturi repudiandae.,C53,3.38
V1006,I62,Sunt eos sequi atque similique debitis.,C53,3.42
V1007,I52,Officia eligendi quo vitae optio architecto occaecati.,C53,4.02
V1008,I57,Sequi officia exercitationem consectetur cumque quam.,C53,2.48
V1009,I61,Quos laborum impedit provident soluta.,C53,2.07
V101,I62,Optio atque corporis.,C1,2.22
V1010,I61,Assumenda rerum molestiae sit.,C53,4.53
V1011,I34,Molestias doloribus placeat quisquam quaerat illo.,C53,3.65
V1012,I24,Illum autem accusamus tempore ullam.,C53,2.99
V1013,I37,Beatae tenetur est quod inventore veritatis quo incidunt.,C53,1.05
V1014,I48,Nesciunt unde voluptatum doloremque possimus.,C53,4.41
V1015,I61,Vero magnam est occaecati tempora.,C53,4.91
V1016,I24,Consequatur nesciunt quo exercitationem optio.,C53,3.32
V1017,I70,Natus dignissimos nobis.,C53,1.13
V1018,I32,Excepturi nisi suscipit eum sapiente libero.,C53,3.14
V1019,I35,Delectus neque doloribus officiis.,C53,4.97
V102,I38,Exercitationem ut voluptas minima error illum.,C1,2.97
V1020,I69,Architecto possimus explicabo odit autem beatae molestias.,C53,4.85
V1021,I57,Nesciunt necessitatibus quaerat eveniet.,C53,1.95
V1022,I69,Tenetur quaerat a quidem.,C53,4.81
V1023,I69,Maxime error facilis et minus quis minima.,C53,3.42
V1024,I26,Quas sit aspernatur.,C54,2.54
V1025,I54,Dolorum officiis iste.,C54,3.64
V1026,I41,Cumque beatae dolorem dolore consectetur suscipit.,C54,3.01
V1027,I31,Recusandae perferendis consectetur repellat.,C54,4.68
V1028,I62,Ducimus dolor ab earum nesciunt occaecati nulla.,C54,3.56
V1029,I55,Cupiditate delectus assumenda aperiam fugiat.,C54,1.20
V103,I22,Quo tempore ea exercitationem unde.,C1,4.99
V1030,I60,Voluptate perspiciatis iste velit.,C54,1.95
V1031,I45,Delectus aspernatur eum debitis maxime reiciendis maiores atque.,C54,1.91
V1032,I42,Laboriosam pariatur minus esse quod.,C54,1.04
V1033,I20,Vitae facere aperiam velit cum eum.,C54,1.17
V1034,I46,Sit voluptatem architecto debitis aliquam vero cumque.,C54,1.47
V1035,I21,Temporibus odit occaecati dignissimos atque.,C54,2.33
V1036,I45,Modi ducimus eius omnis soluta.,C55,1.23
V1037,I66,Quidem at ea quam.,C55,3.40
V1038,I26,Tempore aliquam ad beatae vitae atque veritatis.,C55,4.69
V1039,I56,Sint natus at soluta animi.,C55,2.22
V104,I39,Accusamus accusantium ipsum eaque amet sint.,C1,3.87
V1040,I46,Eveniet quo blanditiis molestias.,C55,3.21
V1041,I25,Dolore voluptates officiis aliquam odit quis commodi.,C55,2.00
V1042,I37,Beatae odio enim nemo.,C55,4.19
V1043,I47,Quae possimus atque dolorum nostrum.,C55,4.45
V1044,I21,Harum dolor minima aperiam.,C55,4.30
V1045,I62,Neque blanditiis voluptate soluta a officiis.,C55,3.81
V1046,I25,Officia fugiat veritatis beatae numquam.,C56,3.92
V1047,I26,Adipisci quos ut enim in doloribus minus.,C56,2.74
V1048,I38,Natus aliquam quas necessitatibus quisquam maxime corrupti sit.,C56,3.75
V1049,I54,Explicabo accusamus culpa natus possimus.,C56,3.80
V105,I29,Aut similique iste qui explicabo.,C1,4.50
V1050,I35,Architecto iste odio animi.,C56,3.74
V1051,I65,Vitae neque recusandae non ipsam unde.,C56,4.74
V1052,I20,Eaque error esse quibusdam a.,C56,3.12
V1053,I59,Quam sint laborum incidunt ducimus laborum cumque saepe.,C56,2.35
V1054,I67,Ea ratione hic molestias sunt deserunt doloribus.,C56,2.21
V1055,I31,Sed est illo atque itaque.,C56,3.31
V1056,I31,Blanditiis impedit tempore accusamus quas quidem nobis repudiandae.,C56,1.34
V1057,I39,Itaque molestiae perspiciatis sapiente recusandae omnis nisi.,C56,1.16
V1058,I24,Ab quibusdam cupiditate in.,C56,2.84
V1059,I63,Ducimus fuga debitis excepturi ad molestiae.,C56,1.28
V106,I47,Quia id libero debitis nulla laboriosam deleniti.,C1,2.21
V1060,I43,Suscipit iure harum aut asperiores.,C56,1.74
V1061,I35,Hic tempora explicabo vel cumque ratione eos.,C57,2.77
V1062,I23,Fugit adipisci incidunt.,C57,1.71
V1063,I57,Repudiandae expedita magnam odit.,C57,3.06
V1064,I21,Voluptas at libero consequuntur ducimus.,C57,1.02
V1065,I36,Porro ex debitis dolor perspiciatis numquam.,C57,1.49
V1066,I49,Eveniet ullam laudantium ullam blanditiis.,C57,2.71
V1067,I42,Sed debitis aliquid tenetur veritatis unde ratione ipsa.,C57,4.31
V1068,I69,Eveniet excepturi molestiae.,C57,4.89
V1069,I37,Consequatur facilis repellat autem.,C57,2.94
V107,I52,Ullam odio velit.,C1,2.01
V1070,I36,Adipisci expedita rem architecto.,C57,4.03
V1071,I56,Veniam nihil nihil modi debitis quo.,C57,2.71
V1072,I37,Aspernatur id delectus magni odit pariatur.,C57,3.36
V1073,I31,Expedita vitae a ratione eos laborum.,C57,4.12
V1074,I51,Molestiae dignissimos iste ducimus ex officiis.,C58,3.72
V1075,I24,Quisquam vel quos provident itaque eius eaque.,C58,2.65
V1076,I20,Dolor libero pariatur quia aperiam.,C58,4.26
V1077,I63,Corrupti consectetur deserunt itaque beatae.,C58,1.70
V1078,I70,Dolorum velit eius recusandae magni nobis harum.,C58,3.00
V1079,I58,Voluptates porro enim quam sed cum rerum voluptatem.,C58,1.21
V108,I54,Praesentium tempore ullam sequi.,C1,3.66
V1080,I67,Ad voluptate quis maiores accusantium eaque blanditiis.,C58,4.11
V1081,I69,Vero nobis corrupti nisi accusantium corrupti commodi voluptate.,C58,2.22
V1082,I33,Sit occaecati veritatis ullam similique voluptatum.,C58,1.90
V1083,I55,Culpa tempora excepturi deserunt.,C58,4.51
V1084,I61,Blanditiis odit nisi accusamus.,C58,3.45
V1085,I39,In facilis voluptatem et provident animi neque.,C58,2.42
V1086,I59,Tempore iste commodi blanditiis.,C58,4.64
V1087,I58,Eligendi nesciunt dolores assumenda maxime suscipit.,C58,2.42
V1088,I24,Possimus nisi iusto nemo debitis cupiditate.,C58,3.97
V1089,I32,Tempora culpa asperiores aspernatur temporibus quo odit.,C58,4.04
V109,I39,Incidunt omnis consequatur laborum quidem laboriosam.,C1,1.62
V1090,I31,Nisi repellat libero modi nesciunt dolorum.,C59,3.83
V1091,I33,Soluta illum magnam distinctio perspiciatis eos a.,C59,3.02
V1092,I24,Explicabo quibusdam blanditiis cupiditate.,C59,1.23
V1093,I47,Alias numquam illo praesentium quae qui.,C59,3.96
V1094,I53,Ut assumenda iste vitae ipsam dignissimos unde aliquid.,C59,3.85
V1095,I33,Deleniti totam eligendi similique commodi soluta pariatur.,C59,2.32
V1096,I50,Autem aliquam placeat natus.,C59,3.39
V1097,I43,Debitis adipisci deleniti.,C59,2.90
V1098,I65,Laborum dolore nam qui quas.,C59,3.80
V1099,I60,Repudiandae totam fugit delectus magni accusantium odio.,C59,3.31
V11,I132,Totam dolorum porro id.,C62,5.00
V110,I41,Doloribus natus esse et molestiae saepe sit.,C1,3.68
V1100,I20,Laudantium debitis dolore ullam ut cumque.,C59,1.17
V1101,I44,Officiis officiis odio rem repellat repudiandae.,C59,4.04
V1102,I53,Minima omnis id voluptates accusantium enim autem.,C59,2.52
V1103,I70,Repudiandae accusantium excepturi eius.,C59,3.49
V1104,I32,Explicabo repellendus cupiditate natus soluta vel.,C60,2.07
V1105,I28,Laboriosam eaque possimus illum ipsum exercitationem.,C60,2.91
V1106,I68,Culpa corporis inventore repellat libero.,C60,2.09
V1107,I23,Praesentium illo repudiandae delectus alias.,C60,1.60
V1108,I68,Totam natus officiis aliquam totam.,C60,3.20
V1109,I41,Neque atque eveniet quidem facere.,C60,4.82
V111,I55,Minus ullam odio assumenda.,C1,4.86
V1110,I20,Molestiae numquam non ut dolores.,C60,1.81
V1111,I33,Cum nulla officia saepe vero.,C60,2.35
V1112,I49,Totam nam quas fugit.,C60,2.52
V1113,I65,Ipsam eos laborum.,C60,1.05
